Name,Company ID,% increase in Net Income,% increase in Total Revenue
"Hale, Matthews and Shaw",867,96.87,70.92
"Espinoza, Edwards and Anderson",2186,94.63,148.04
"Hall, Monroe and Palmer",3360,88.22,127.67
"Ray, Mayer and Brooks",598,87.74,70.55
Ruiz PLC,2128,86.58,72.59
Friedman-Hall,2009,83.08,124.38
Stewart-Cole,856,79.84,45.27
Hill-Campbell,171,79.57,53.15
Murray Group,1713,79.57,53.15
Lane-Mosley,1109,79.1,55.61
Rogers Group,1193,77.72,70.05
"Curtis, Duncan and Perez",1297,77.61,71.88
"Griffin, Butler and Chapman",1035,74.99,149.22
Cantu Inc,103,74.99,149.22
Brown-Davis,669,73.49,52.18
Landry Ltd,156,68.11,135.84
White-Thomas,1569,68.11,135.84
Garcia and Sons,1099,65.75,85.97
Collins-Simpson,1599,65.5,109.9
Kelley-Henson,1186,59.72,38.28
Elliott LLC,118,59.72,38.28
Williams-Woods,916,58.66,39.92
Jones Inc,376,55.05,122.22
Phillips-Williams,3768,55.05,122.22
Zuniga-Foster,3969,52.85,73.88
Mcfarland LLC,2607,41.85,76.81
Martin-Dawson,152,38.91,79.43
Watts Ltd,1528,38.91,79.43
Brown PLC,1618,37.45,55.82
"Williams, Rodgers and Jordan",3799,31.87,26.74
Glover Ltd,552,30.62,45.03
Daniel-Moon,1763,29.44,85.35
